PERMNO;HdrCUSIP;Ticker;PERMCO;DlyCalDt;DlyRet
28310;90478470;UN;21803;18-10-2011;0.008685
28310;90478470;UN;21803;19-10-2011;-0.012173
28310;90478470;UN;21803;20-10-2011;0.004208
28310;90478470;UN;21803;21-10-2011;0.024843
28310;90478470;UN;21803;24-10-2011;-0.000876
28310;90478470;UN;21803;25-10-2011;-0.011985
28310;90478470;UN;21803;26-10-2011;0.010059
28310;90478470;UN;21803;27-10-2011;0.018453
28310;90478470;UN;21803;28-10-2011;0.008341
28310;90478470;UN;21803;31-10-2011;-0.015117
28310;90478470;UN;21803;1-11-2011;-0.019114
28310;90478470;UN;21803;2-11-2011;0.001476
28310;90478470;UN;21803;3-11-2011;0.004422
28310;90478470;UN;21803;4-11-2011;-0.007925
28310;90478470;UN;21803;7-11-2011;0.010059
28310;90478470;UN;21803;8-11-2011;0.022162
28310;90478470;UN;21803;9-11-2011;-0.053484
28310;90478470;UN;21803;10-11-2011;0.010996
28310;90478470;UN;21803;11-11-2011;0.025076
28310;90478470;UN;21803;14-11-2011;-0.016799
28310;90478470;UN;21803;15-11-2011;-0.006894
28310;90478470;UN;21803;16-11-2011;-0.007244
28310;90478470;UN;21803;17-11-2011;-0.00304
28310;90478470;UN;21803;18-11-2011;-0.00305
28310;90478470;UN;21803;21-11-2011;-0.010401
28310;90478470;UN;21803;22-11-2011;0.017929
28310;90478470;UN;21803;23-11-2011;-0.039781
28310;90478470;UN;21803;25-11-2011;-0.004744
28310;90478470;UN;21803;28-11-2011;0.029552
28310;90478470;UN;21803;29-11-2011;0.020062
28310;90478470;UN;21803;30-11-2011;0.032073
28310;90478470;UN;21803;1-12-2011;-0.016711
28310;90478470;UN;21803;2-12-2011;-0.016398
28310;90478470;UN;21803;5-12-2011;0.006062
28310;90478470;UN;21803;6-12-2011;0.011148
28310;90478470;UN;21803;7-12-2011;0.015495
28310;90478470;UN;21803;8-12-2011;-0.014671
28310;90478470;UN;21803;9-12-2011;0.014294
28310;90478470;UN;21803;12-12-2011;-0.013212
28310;90478470;UN;21803;13-12-2011;-0.010414
28310;90478470;UN;21803;14-12-2011;-0.012928
28310;90478470;UN;21803;15-12-2011;0.000914
28310;90478470;UN;21803;16-12-2011;-0.010043
28310;90478470;UN;21803;19-12-2011;0.013219
28310;90478470;UN;21803;20-12-2011;0.01426
28310;90478470;UN;21803;21-12-2011;0.005983
28310;90478470;UN;21803;22-12-2011;0.005947
28310;90478470;UN;21803;23-12-2011;0.007981
28310;90478470;UN;21803;27-12-2011;0.002346
28310;90478470;UN;21803;28-12-2011;-0.011995
28310;90478470;UN;21803;29-12-2011;0.018952
28310;90478470;UN;21803;30-12-2011;-0.001162
28310;90478470;UN;21803;3-1-2012;0.016002
28310;90478470;UN;21803;4-1-2012;-0.013459
28310;90478470;UN;21803;5-1-2012;0.001161
28310;90478470;UN;21803;6-1-2012;-0.035373
28310;90478470;UN;21803;9-1-2012;0.013526
28310;90478470;UN;21803;10-1-2012;0.005635
28310;90478470;UN;21803;11-1-2012;-0.031259
28310;90478470;UN;21803;12-1-2012;0.003044
28310;90478470;UN;21803;13-1-2012;-0.0261
28310;90478470;UN;21803;17-1-2012;0.008725
28310;90478470;UN;21803;18-1-2012;0.012975
28310;90478470;UN;21803;19-1-2012;-0.004575
28310;90478470;UN;21803;20-1-2012;0.005821
28310;90478470;UN;21803;23-1-2012;0.004569
28310;90478470;UN;21803;24-1-2012;-0.002426
28310;90478470;UN;21803;25-1-2012;0.014286
28310;90478470;UN;21803;26-1-2012;0.000599
28310;90478470;UN;21803;27-1-2012;0.003294
28310;90478470;UN;21803;30-1-2012;-0.000597
28310;90478470;UN;21803;31-1-2012;-0.003883
28310;90478470;UN;21803;1-2-2012;0.01949
28310;90478470;UN;21803;2-2-2012;-0.033824
28310;90478470;UN;21803;3-2-2012;0.014307
28310;90478470;UN;21803;6-2-2012;-0.004802
28310;90478470;UN;21803;7-2-2012;0.013872
28310;90478470;UN;21803;8-2-2012;-0.01279
28310;90478470;UN;21803;9-2-2012;0.011148
28310;90478470;UN;21803;10-2-2012;-0.006555
28310;90478470;UN;21803;13-2-2012;0.011398
28310;90478470;UN;21803;14-2-2012;0.00089
28310;90478470;UN;21803;15-2-2012;-0.008104
28310;90478470;UN;21803;16-2-2012;0.022303
28310;90478470;UN;21803;17-2-2012;-0.004127
28310;90478470;UN;21803;21-2-2012;0.00296
28310;90478470;UN;21803;22-2-2012;-0.000295
28310;90478470;UN;21803;23-2-2012;0.010038
28310;90478470;UN;21803;24-2-2012;-0.018123
28310;90478470;UN;21803;27-2-2012;-0.006252
28310;90478470;UN;21803;28-2-2012;0.004194
28310;90478470;UN;21803;29-2-2012;-0.006265
28310;90478470;UN;21803;1-3-2012;0.01411
28310;90478470;UN;21803;2-3-2012;-0.019242
28310;90478470;UN;21803;5-3-2012;0.010866
28310;90478470;UN;21803;6-3-2012;-0.025381
28310;90478470;UN;21803;7-3-2012;0.011642
28310;90478470;UN;21803;8-3-2012;0.015445
28310;90478470;UN;21803;9-3-2012;-0.002684
28310;90478470;UN;21803;12-3-2012;0.012859
28310;90478470;UN;21803;13-3-2012;0.007676
28310;90478470;UN;21803;14-3-2012;-0.00879
28310;90478470;UN;21803;15-3-2012;0.005912
28310;90478470;UN;21803;16-3-2012;0.004996
28310;90478470;UN;21803;19-3-2012;0.005263
28310;90478470;UN;21803;20-3-2012;-0.015707
28310;90478470;UN;21803;21-3-2012;-0.00591
28310;90478470;UN;21803;22-3-2012;-0.002973
28310;90478470;UN;21803;23-3-2012;0.00477
28310;90478470;UN;21803;26-3-2012;0.012166
28310;90478470;UN;21803;27-3-2012;-0.002345
28310;90478470;UN;21803;28-3-2012;-0.009697
28310;90478470;UN;21803;29-3-2012;0
28310;90478470;UN;21803;30-3-2012;0.009792
28310;90478470;UN;21803;2-4-2012;0.014399
28310;90478470;UN;21803;3-4-2012;-0.007822
28310;90478470;UN;21803;4-4-2012;-0.012847
28310;90478470;UN;21803;5-4-2012;-0.016859
28310;90478470;UN;21803;9-4-2012;0.001203
28310;90478470;UN;21803;10-4-2012;-0.021334
28310;90478470;UN;21803;11-4-2012;0.000614
28310;90478470;UN;21803;12-4-2012;-0.002455
28310;90478470;UN;21803;13-4-2012;-0.006767
28310;90478470;UN;21803;16-4-2012;0.017033
28310;90478470;UN;21803;17-4-2012;0.012789
28310;90478470;UN;21803;18-4-2012;0.002105
28310;90478470;UN;21803;19-4-2012;0.007801
28310;90478470;UN;21803;20-4-2012;0.01042
28310;90478470;UN;21803;23-4-2012;-0.010902
28310;90478470;UN;21803;24-4-2012;0.003277
28310;90478470;UN;21803;25-4-2012;0.005641
28310;90478470;UN;21803;26-4-2012;0.033363
28310;90478470;UN;21803;27-4-2012;-0.016
28310;90478470;UN;21803;30-4-2012;-0.002613
28310;90478470;UN;21803;1-5-2012;-0.000291
28310;90478470;UN;21803;2-5-2012;0.007863
28310;90478470;UN;21803;3-5-2012;-0.002023
28310;90478470;UN;21803;4-5-2012;-0.016213
28310;90478470;UN;21803;7-5-2012;0.007946
28310;90478470;UN;21803;8-5-2012;-0.011679
28310;90478470;UN;21803;9-5-2012;-0.00296
28310;90478470;UN;21803;10-5-2012;-0.004188
28310;90478470;UN;21803;11-5-2012;0.009012
28310;90478470;UN;21803;14-5-2012;-0.010122
28310;90478470;UN;21803;15-5-2012;-0.008722
28310;90478470;UN;21803;16-5-2012;-0.011833
28310;90478470;UN;21803;17-5-2012;-0.009211
28310;90478470;UN;21803;18-5-2012;-0.00124
28310;90478470;UN;21803;21-5-2012;0.008688
28310;90478470;UN;21803;22-5-2012;-0.013227
28310;90478470;UN;21803;23-5-2012;-0.007793
28310;90478470;UN;21803;24-5-2012;-0.000943
28310;90478470;UN;21803;25-5-2012;0.004088
28310;90478470;UN;21803;29-5-2012;-0.001879
28310;90478470;UN;21803;30-5-2012;-0.018513
28310;90478470;UN;21803;31-5-2012;0.002558
28310;90478470;UN;21803;1-6-2012;-0.018176
28310;90478470;UN;21803;4-6-2012;0.00065
28310;90478470;UN;21803;5-6-2012;0
28310;90478470;UN;21803;6-6-2012;0.020123
28310;90478470;UN;21803;7-6-2012;-0.002227
28310;90478470;UN;21803;8-6-2012;0.000319
28310;90478470;UN;21803;11-6-2012;-0.0051
28310;90478470;UN;21803;12-6-2012;0.012496
28310;90478470;UN;21803;13-6-2012;0.007595
28310;90478470;UN;21803;14-6-2012;0.012563
28310;90478470;UN;21803;15-6-2012;-0.001861
28310;90478470;UN;21803;18-6-2012;0.00404
28310;90478470;UN;21803;19-6-2012;0.002476
28310;90478470;UN;21803;20-6-2012;-0.008953
28310;90478470;UN;21803;21-6-2012;-0.004361
28310;90478470;UN;21803;22-6-2012;0.006571
28310;90478470;UN;21803;25-6-2012;-0.013366
28310;90478470;UN;21803;26-6-2012;0.007876
28310;90478470;UN;21803;27-6-2012;0.009065
28310;90478470;UN;21803;28-6-2012;-0.001239
28310;90478470;UN;21803;29-6-2012;0.034429
28310;90478470;UN;21803;2-7-2012;0.006897
28310;90478470;UN;21803;3-7-2012;0.015188
28310;90478470;UN;21803;5-7-2012;-0.018187
28310;90478470;UN;21803;6-7-2012;-0.00986
28310;90478470;UN;21803;9-7-2012;-0.001207
28310;90478470;UN;21803;10-7-2012;-0.000906
28310;90478470;UN;21803;11-7-2012;-0.016631
28310;90478470;UN;21803;12-7-2012;-0.007073
28310;90478470;UN;21803;13-7-2012;0.013317
28310;90478470;UN;21803;16-7-2012;0.001834
28310;90478470;UN;21803;17-7-2012;0.002746
28310;90478470;UN;21803;18-7-2012;0.00791
28310;90478470;UN;21803;19-7-2012;0.004528
28310;90478470;UN;21803;20-7-2012;-0.007813
28310;90478470;UN;21803;23-7-2012;-0.018171
28310;90478470;UN;21803;24-7-2012;-0.00401
28310;90478470;UN;21803;25-7-2012;-0.005574
28310;90478470;UN;21803;26-7-2012;0.06758
28310;90478470;UN;21803;27-7-2012;0.005543
28310;90478470;UN;21803;30-7-2012;0.004062
28310;90478470;UN;21803;31-7-2012;0.001156
28310;90478470;UN;21803;1-8-2012;0.006926
28310;90478470;UN;21803;2-8-2012;-0.010032
28310;90478470;UN;21803;3-8-2012;0.026057
28310;90478470;UN;21803;6-8-2012;-0.008465
28310;90478470;UN;21803;7-8-2012;0.000569
28310;90478470;UN;21803;8-8-2012;-0.002452
28310;90478470;UN;21803;9-8-2012;-0.00575
28310;90478470;UN;21803;10-8-2012;0.000868
28310;90478470;UN;21803;13-8-2012;-0.000578
28310;90478470;UN;21803;14-8-2012;-0.000578
28310;90478470;UN;21803;15-8-2012;-0.000868
28310;90478470;UN;21803;16-8-2012;0.001158
28310;90478470;UN;21803;17-8-2012;-0.006362
28310;90478470;UN;21803;20-8-2012;0.002037
28310;90478470;UN;21803;21-8-2012;0.007552
